id,name,address,lat,lng,place_id,rating,user_ratings_total,types,apartments_url,rent_min,rent_max,sqft_min,sqft_max,rent_per_sqft_avg,ucd_distance_miles,ucd_time_min
31,Parkside Apartments,"1420 F St, Davis, CA 95616, United States",38.5580366,-121.7434179,ChIJ8ZuJT70phYARATCgBxyCKWQ,2.5,47.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/parkside-apartments-davis-ca/msf751k/,1927.0,2535.0,615.0,835.0,3.077241379310345,1.537276150471622,6.066666666666666
32,Pinecrest Apartments,"920 Cranbrook Ct, Davis, CA 95616, United States",38.5591405,-121.7407546,ChIJlaApdJcphYARsF0W43Y_9vk,2.9,37.0,"['real_estate_agency', 'finance', 'point_of_interest', 'establishment']",https://www.apartments.com/pinecrest-apartments-davis-ca/mhnr6wl/,1727.0,1927.0,600.0,800.0,2.61,1.8119229000708368,7.566666666666666
33,Redwood Tree Apartments,"607 E 8th St, Davis, CA 95616, United States",38.551355,-121.743543,ChIJCzyhwaEphYARLQIUjXzxLrE,3.7,6.0,"['point_of_interest', 'establishment']",https://www.apartments.com/redwood-tree-apartments-davis-ca/vs368xg/,1895.0,2095.0,643.0,898.0,2.589227774172615,1.003516969689438,4.716666666666667
34,Renaissance Park Apartments,"3000 Lillard Dr, Davis, CA 95618, United States",38.5425458,-121.7147354,ChIJkQggWtkrhYARo1k5qkUxiiY,2.7,77.0,"['real_estate_agency', 'finance', 'point_of_interest', 'establishment']",https://www.apartments.com/renaissance-park-apartments-davis-ca/02qzvr2/,1867.0,2327.0,675.0,837.0,2.7738095238095237,2.711670622739757,10.383333333333333
35,Sharps & Flats Apartment Homes,"1660 Drew Cir, Davis, CA 95618, United States",38.5376785,-121.7262296,ChIJz7h3wGYphYARR5Hw4Tl_jjI,2.8,81.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/sharps-flats-davis-ca/yt2jzpv/,1416.0,3600.0,873.0,1652.0,1.9865346534653463,2.055501012837561,10.3
36,Sorrento Apartments,"1540 Valdora St, Davis, CA 95618, United States",38.5394742,-121.7230821,ChIJM2kdNmEphYAR7NZl0zc4HI0,2.4,33.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/sorrento-davis-ca/e20jydn/,1999.0,3580.0,850.0,1600.0,2.277142857142857,2.4332956367206435,9.5
37,Tanglewood@Davis,"1880 Cowell Blvd, Davis, CA 95618, United States",38.539514,-121.728956,ChIJMbKjuWUphYARnv8bdCK5SyY,3.7,123.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/tanglewood-davis-ca/xt2gz7p/,2600.0,2600.0,1300.0,1300.0,2.0,2.006412566642226,9.35
38,The Arbors,"1280 Olive Dr, Davis, CA 95616, United States",38.5436955,-121.7338593,ChIJbTlaVHAphYARcEe1s1E60ok,4.8,28.0,"['point_of_interest', 'establishment']",https://www.apartments.com/the-arbors-davis-ca/bz2n9p9/,2195.0,2625.0,724.0,911.0,2.948012232415902,1.614326369816198,7.8
39,The Drake and Anderson Court Apartments,"1905 Anderson Rd, Davis, CA 95616, United States",38.5601501,-121.7594711,ChIJOSifeLYphYAR-e-9Gw5XAls,4.2,20.0,"['point_of_interest', 'establishment']",https://www.apartments.com/the-drake-and-anderson-court-davis-ca/8j8wf23/,1595.0,2295.0,520.0,978.0,2.596795727636849,1.6342102973889918,6.85
40,The Edge Apartments,"4005 Cowell Blvd, Davis, CA 95618, United States",38.54856240000001,-121.7025969,ChIJKymPxsUrhYAR73egFucVU4k,3.6,59.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/the-edge-apartments-davis-ca/552glwp/,1850.0,2400.0,760.0,960.0,2.4709302325581395,3.7127021014825954,11.866666666666667
41,The Grove at Davis,"1333 Arlington Blvd, Davis, CA 95616, United States",38.55369650000001,-121.7858459,ChIJY5VLcUAohYARvCnFBGaju8g,4.5,17.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/the-grove-at-davis-davis-ca/w9ew0nj/,3003.0,3003.0,1164.0,1164.0,2.579896907216495,2.4196254365143477,8.433333333333334
42,The Spoke,"801 J St, Davis, CA 95616, United States",38.5536155,-121.7400588,ChIJ122ZHp8phYARQqRhM7SaH0w,3.5,246.0,"['point_of_interest', 'establishment']",https://www.apartments.com/the-spoke-davis-ca/n1kn94q/,880.0,2400.0,600.0,950.0,2.1161290322580646,1.2023562454173762,5.583333333333333
43,The U Apartments,"625 Cantrill Dr, Davis, CA 95618, United States",38.5496102,-121.7208849,ChIJmRQHw30phYARr125i_BW_Sg,3.7,245.0,"['point_of_interest', 'establishment']",https://www.apartments.com/the-u-davis-davis-ca/16h2wy4/,499.0,2799.0,1199.0,1328.0,1.3051048674317371,2.3817216995787094,10.283333333333331
44,The Willows,"1959 Lake Blvd, Davis, CA 95616, United States",38.5603795,-121.7875684,ChIJS2lowD0ohYARIx2SYBqpECw,4.5,33.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/the-willows-davis-ca/fzbbk8s/,565.0,3300.0,600.0,1100.0,2.273529411764706,2.9732685448693257,10.433333333333334
45,University Court,"515 Sycamore Ln, Davis, CA 95616, United States",38.5469777,-121.7625099,ChIJo5IZgKwphYARFtrVdwa4DBo,3.9,109.0,"['real_estate_agency', 'point_of_interest', 'establishment']",https://www.apartments.com/university-court-davis-ca/0zxc4x0/,1700.0,2319.0,564.0,768.0,3.0172672672672673,0.7928716119651534,4.083333333333333
46,University Square,"300 J St, Davis, CA 95616, United States",38.5457163,-121.7356526,ChIJT4l_s3YphYARR-kwKoFk-cI,2.5,2.0,"['point_of_interest', 'establishment']",https://www.apartments.com/university-square-apartments-davis-ca/zt461my/,1624.0,1795.0,576.0,750.0,2.57843137254902,1.2402599823530145,6.75
47,Westwood,"800 Adams St, Davis, CA 95616, United States",38.5508073,-121.7689185,ChIJp0GiuU0ohYARaAseYnYqzLA,3.2,17.0,"['point_of_interest', 'establishment']",https://www.apartments.com/westwood-apartments-davis-ca/k46x178/,2405.0,2405.0,950.0,950.0,2.531578947368421,1.7261734624131633,7.883333333333334
