Stop ID (3 Digit),Stop ID (Full),Stop Location,Latitude,Longitude,Known Accessibility Issue?
244,22244,Mace Blvd & 2nd St (NB),38.556249,-121.693953,None
243,22243,Mace Blvd & 2nd St (SB),38.557751,-121.694301,None
059,22059,Mace Blvd & Chiles Rd (SB),38.549739,-121.694573,None
060,22060,Mace Blvd & Cowell Blvd (NB),38.549276,-121.694247,None
272,22272,Memorial Union & Main Island (NB),38.54386,-121.750044,None
274,22274,Memorial Union & East Island (SB),38.543621,-121.749574,None
273,22273,Memorial Union & Main Island (SB),38.543593,-121.749755,None
167,22167,Memorial Union Terminal Arrival & Howard Way (NB),38.543983,-121.749798,None
081,22081,Monarch Ln & Campbell (SB),38.562669,-121.714597,Accessing bus stop may be difficult due to parked cars.
375,22375,Moore & Pole Line Rd (WB),38.570436,-121.729552,No connection between sidewalk and street.
374,22374,Moore & Sargent (WB),38.564383,-121.71983,None
249,22249,Moore Blvd & Pole Line Rd (EB),38.570257,-121.729186,None
250,22250,Moore Blvd & Pollock (EB),38.564417,-121.719168,None
261,22261,Moore Blvd & Raphael (EB),38.565016,-121.72346,None
294,22294,Moore Blvd & Rockwell (EB),38.568603,-121.726649,None
376,22376,Moore Village (WB),38.566255,-121.724054,No connection between sidewalk and street.
144,22144,North Sycamore Loop (NB),38.568246,-121.766986,No sidewalk present.
314,22314,Oak & 14th Street (NB),38.55609,-121.752208,Accessing bus stop may be difficult due to parked cars.
148,22148,Oak Ave & 14th St (SB),38.555563,-121.752423,None
163,22163,Oak Ave & 8th St (NB),38.551035,-121.752611,None
164,22164,Oak Ave & 8th St (SB),38.55044,-121.752853,None
161,22161,Oak Ave & Antioch Dr (NB),38.553345,-121.752569,None
162,22162,Oak Ave & Antioch Dr (SB),38.552723,-121.752779,None
145,22145,Oak Ave & Covell (NB),38.56034,-121.752138,Accessing bus stop may be difficult due to parked cars.
165,22165,Oak Ave & Russell Blvd (NB),38.546644,-121.752651,None
166,22166,Oak Ave & Russell Blvd (SB),38.54649,-121.752911,None
283,22283,Pena & 2nd St. (NB),38.55023,-121.7157,None
260,22260,Pole Line & Donner (NB),38.566605,-121.730755,None
044,22044,Pole Line & S Diameter Dr (NB),38.550296,-121.726707,None
280,22280,Pole Line & Wahl Way (SB),38.555187,-121.727476,None
094,22094,Pole Line Rd & 8th St (NB),38.553959,-121.727256,None
092,22092,Pole Line Rd & Claremont Dr (NB),38.561447,-121.730989,Accessing bus stop may be difficult due to parked cars.
040,22040,Pole Line Rd & Cowell Blvd (NB),38.54221,-121.724375,None
039,22039,Pole Line Rd & Cowell Blvd (SB),38.542589,-121.72519,None
357,22357,Pole Line Rd & Loyola Dr (NB),38.556161,-121.727317,None
106,22106,Pole Line Rd & Picasso Ave (NB),38.564358,-121.730865,None
193,22193,Radcliffe Dr & Apple Ln (NB),38.55862,-121.760557,None
318,22318,Research Park Dr & Cowell (EB),38.545216,-121.724102,None
242,22242,Richards Blvd & Olive Dr (NB),38.540795,-121.73832,None
004,22004,Richards Blvd & Olive Dr (SB),38.540645,-121.738537,None
008,22008,Russell & A St (EB),38.546127,-121.747104,None
316,22316,Russell & Arthur (EB),38.546378,-121.77112,None
021,22021,Russell Blvd & A St (WB),38.546382,-121.746873,None
229,22229,Russell Blvd & Arlington Farm (WB),38.546797,-121.785855,None
225,22225,Russell Blvd & Arthur St (WB),38.546553,-121.771018,None
177,22177,Russell Blvd & Sycamore Ln (EB),38.546237,-121.761999,None
178,22178,Russell Blvd & Sycamore Ln (WB),38.546489,-121.763497,None
498,22498,Schmeiser Ave & Cowell Blvd (NB),38.549914,-121.683489,None
257,22257,Silo Terminal & Center Island (EB),38.539346,-121.753079,None
256,22256,Silo Terminal & Center Island (WB),38.539142,-121.753094,None
258,22258,Silo Terminal & Haring Hall (WB),38.539329,-121.753685,None
292,22292,Sycamore & 8th (SB),38.550607,-121.764219,None
185,22185,Sycamore Ln & 8th St (NB),38.550965,-121.764404,None
138,22138,Sycamore Ln & Alvarado (SB),38.562525,-121.765042,None
140,22140,Sycamore Ln & Antelope (NB),38.564446,-121.765611,Customers may not board at this location. Drop off service only.
141,22141,Sycamore Ln & Antelope (SB),38.564357,-121.765854,None
188,22188,Sycamore Ln & Bucknell Dr (NB),38.554912,-121.764838,None
142,22142,Sycamore Ln & Chaparral Apts (NB),38.566309,-121.765557,Customers may not board at this location. Drop off service only.
143,22143,Sycamore Ln & Chaparral Apts (SB),38.566025,-121.76584,None
187,22187,Sycamore Ln & Colby Dr. (SB),38.555308,-121.765045,None
189,22189,Sycamore Ln & Cornell Dr (NB),38.553481,-121.764886,None
190,22190,Sycamore Ln & Cornell Dr (SB),38.552939,-121.765096,None
195,22195,Sycamore Ln & Drake Dr (SB),38.559408,-121.76406,Accessing bus stop may be difficult due to parked cars.
192,22192,Sycamore Ln & Notre Dame Dr (SB),38.558492,-121.764821,None
139,22139,Sycamore Ln & Pepperwood Apts (NB),38.56314,-121.765419,Customers may not board at this location. Drop off service only.
191,22191,Sycamore Ln & Radcliffe Dr (NB),38.558244,-121.764724,None
230,22230,Sycamore Ln & University Mall (NB),38.547509,-121.761669,No connection between sidewalk and street. Accessing bus stop may be difficult due to parked cars.
186,22186,Sycamore Ln & Villanova Dr (NB),38.556476,-121.764806,None
179,22179,Sycamore Ln & Wake Forest Dr (SB),38.547383,-121.761982,None
082,22082,Temple Dr & Balsam Pl (WB),38.561984,-121.717197,Accessing bus stop may be difficult due to parked cars.
304,22304,Tilia & Celadon (EB),38.541897,-121.773298,None
085,22085,Tulip Ln & Cascade Pl (SB),38.558242,-121.717411,None
150,22150,Villanova Dr & Anderson Rd (EB),38.55615,-121.757881,Accessing bus stop may be difficult due to parked cars.
149,22149,Villanova Dr & Reed Dr (WB),38.556407,-121.756564,Accessing bus stop may be difficult due to parked cars.
182,22182,Wake Forest Dr & 8th Street (SB),38.549228,-121.766869,None
181,22181,Wake Forest Dr & Oxford Cir (EB),38.547933,-121.763945,None
289,22289,West Village Sq & Community College (SB),38.540823,-121.77171,None
288,22288,West Village Sq & Town Square (NB),38.541099,-121.771733,Customers may not board at this location. Drop off service only.
