"name","address","lat","lng","place_id","rating","user_ratings_total","types","apartments_url","rent_min","rent_max","sqft_min","sqft_max"
"8th & Wake","1440 Wake Forest Dr, Davis, CA 95616, United States","38.5485153","-121.7668292","ChIJm9ECk1IohYARInDvm706284","4.1","38.0","['point_of_interest', 'establishment']","","","","",""
"Academy Lane","1124 F St, Davis, CA 95616, United States","38.5551655","-121.7424769","ChIJ8cA3dKIphYAREie0GPKQfY4","3.0","43.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/academy-lane-apartment-homes-davis-ca/qf1j36y/","","","460.0","480.0"
"Adobe At Evergreen Apartments","1500 Shasta Dr, Davis, CA 95616, United States","38.5600685","-121.7712091","ChIJJZ9VaDYohYARyucU7yZq_tE","4.1","26.0","['point_of_interest', 'establishment']","https://www.apartments.com/adobe-at-evergreen-davis-ca/r72fqy3/","618.0","1558.0","1024.0","1614.0"
"Aero Apartments","1805 Anderson Rd, Davis, CA 95616, United States","38.5595518","-121.7594906","ChIJidXngbYphYARi8JqrRY1Rv8","4.5","4.0","['point_of_interest', 'establishment']","https://www.apartments.com/aero-apartments-davis-ca/xkmhxnq/","1750.0","2600.0","675.0","925.0"
"Aggie Square Apartments","644 Alvarado Ave, Davis, CA 95616, United States","38.5614166","-121.7565796","ChIJmVyds7cphYAROS8Y7UPbX_w","4.9","31.0","['point_of_interest', 'establishment']","https://www.apartments.com/aggie-square-apartments-davis-ca/4p5s74k/","1770.0","2995.0","764.0","1093.0"
"Almondwood Apartments","1212 Alvarado Ave, Davis, CA 95616, United States","38.5616868","-121.7629517","ChIJZ7Ynh8ophYARuLLFYMVw1SM","3.9","23.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/almondwood-apartments-davis-ca/93zd3d4/","1770.0","2425.0","684.0","960.0"
"Alvarado Parkside Apartments","520 Alvarado Ave, Davis, CA 95616, United States","38.5613515","-121.7518203","ChIJBy7qubkphYARIXNuAHFhLMQ","3.8","18.0","['point_of_interest', 'establishment']","https://www.apartments.com/alvarado-parkside-apartments-davis-ca/gnd8v4w/","2195.0","2495.0","840.0","968.0"
"Anderson Place Apartments","1850 Hanover Dr, Davis, CA 95616, United States","38.559085","-121.7551814","ChIJG4xaErcphYARIkeEArPa0bY","4.1","39.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/anderson-place-apartments-davis-ca/rhw7yl3/","1240.0","2490.0","815.0","815.0"
"Arlington Farm","2901 Portage Bay W, Davis, CA 95616, United States","38.5487826","-121.7859662","ChIJJUBZI0IohYARcV6dIR8Xe1U","4.0","21.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/arlington-farm-apartments-davis-ca/v6hggcd/","650.0","2300.0","616.0","1752.0"
"Avalon Apartments","1617 Valdora St, Davis, CA 95618, United States","38.538311","-121.724678","ChIJM2kdNmEphYAR68NUO5j-vkk","3.8","18.0","['point_of_interest', 'establishment']","https://www.apartments.com/avalon-davis-ca/pt78hfv/","3239.0","3999.0","1445.0","1860.0"
"Axis at Davis","2555 Research Park Dr, Davis, CA 95618, United States","38.5455559","-121.7233897","ChIJJV9eSnQphYARUikHeRQTfyk","4.7","36.0","['point_of_interest', 'establishment']","https://www.apartments.com/axis-at-davis-davis-ca/xdkeq1m/","820.0","1489.0","1235.0","1268.0"
"Boardwalk Town Homes","805 H St, Davis, CA 95616, United States","38.5520888","-121.740706","ChIJ3dWLFJ8phYARYHTfGNvtPw8","4.7","38.0","['point_of_interest', 'establishment']","","","","",""
"Cambridge House","619 Pole Line Rd, Davis, CA 95618, United States","38.5507285","-121.7275047","ChIJEx0H5HgphYARy_0pNYsm21s","3.5","53.0","['point_of_interest', 'establishment']","","","","",""
"Cascade Apartments","771 Pole Line Rd, Davis, CA 95618, United States","38.5528545","-121.7275174","ChIJzch2lHgphYARdX1Ydrncyuw","4.6","5.0","['point_of_interest', 'establishment']","https://www.apartments.com/cascade-davis-llc-davis-ca/jpbn1m6/","1795","2195","650","850"
"Casitas","717 Alvarado Ave, Davis, CA 95616, United States","38.5622954","-121.75823","ChIJkX8cEcophYARn7C4DKmhyzg","4.1","10.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/casitas-apartments-davis-ca/htcv193/","480.0","3990.0","506.0","1700.0"
"Celeste Apartments","3820 Chiles Rd, Davis, CA 95618, United States","38.5501735","-121.7034589","ChIJlXmXLeIrhYARbzx_kLtHink","3.4","97.0","['real_estate_agency', 'finance', 'point_of_interest', 'establishment']","https://www.apartments.com/the-celeste-davis-ca/w9b62lj/","2325.0","3190.0","597.0","1312.0"
"Chaparral Apartments","2689 Sycamore Ln, Davis, CA 95616, United States","38.5657235","-121.7660839","ChIJK9jJFzMohYAR1Nzt-XoRrBY","4.4","14.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/chaparral-apartments-davis-ca/q881sxy/","665.0","3510.0","528.0","1421.0"
"Chautauqua Apartments","717 Alvarado Ave, Davis, CA 95616, United States","38.5626823","-121.759485","ChIJkX8cEcophYARcp8qx9hopGM","4.8","4.0","['point_of_interest', 'establishment']","","","","",""
"Clearwater Apartments","4141 Cowell Blvd, Davis, CA 95618, United States","38.5482934","-121.6997533","ChIJc-688cYrhYAREaR2-KsYlxg","4.2","24.0","['point_of_interest', 'establishment']","https://www.apartments.com/clearwater-apartments-davis-ca/88n7rh1/","1795.0","2395.0","716.0","960.0"
"College Town Commons","382 Boston Terrace, Davis, CA 95618, United States","38.5483357","-121.6988172","ChIJ9U85PccrhYARzaKcfJ47JZA","4.3","8.0","['real_estate_agency', 'point_of_interest', 'establishment']","","","","",""
"Cottages on 5th","500 Pole Line Rd, Davis, CA 95618, United States","38.549528","-121.7260479","ChIJu95lSl4phYARLiKU8T-0u5k","4.0","22.0","['point_of_interest', 'establishment']","","","","",""
"Cranbrook Apartments","955 Cranbrook Ct, Davis, CA 95616, United States","38.5600627","-121.7414117","ChIJOTKOzpcphYARNM7Qr4n25mA","4.1","49.0","['point_of_interest', 'establishment']","https://www.apartments.com/cranbrook-apartments-davis-ca/mq4vc1k/","1850.0","2410.0","650.0","850.0"
"Creekside","2990 5th St, Davis, CA 95618, United States","38.5533823","-121.7118315","ChIJiXocb0ArhYARBge_UuDS4qA","2.9","18.0","['point_of_interest', 'establishment']","","","","",""
"DaVinci","1666 Da Vinci Ct, Davis, CA 95618, United States","38.5366114","-121.7317467","ChIJGZAau2gphYARkH52E12WjYM","3.5","35.0","['point_of_interest', 'establishment']","https://www.apartments.com/davinci-apartments-davis-ca/ypqh12t/","1843","1843","1181","1181"
"Davisville Apartments","1221 Kennedy Pl #42, Davis, CA 95616, United States","38.559639","-121.7364549","ChIJcxSkrJAphYARuUkwZDs_a48","5.0","2.0","['point_of_interest', 'establishment']","","","","",""
"Davisville Management Company","2525 2nd St, Davis, CA 95618, United States","38.548475","-121.7214575","ChIJ3aiNr30phYARup-W1ucKKg4","5.0","6.0","['real_estate_agency', 'point_of_interest', 'establishment']","","","","",""
"Drake Apartments","919 Drake Dr, Davis, CA 95616, United States","38.5603955","-121.7609734","ChIJA27O17UphYAR2DQ6ud_s-fY","4.5","6.0","['point_of_interest', 'establishment']","https://www.apartments.com/the-drake-and-anderson-court-davis-ca/8j8wf23/","1595","2295","520","978"
"Eastlake Apartments","1420 Lake Blvd, Davis, CA 95616, United States","38.5558814","-121.7869249","ChIJbyEL2j8ohYARwjk2NQJMucA","4.5","15.0","['point_of_interest', 'establishment']","https://www.apartments.com/3-months-free-at-eastlake-apartments-davis-ca/9s4t8t7/","2097","2097","1285","1285"
"El Macero Apartments","4735 Cowell Blvd, Davis, CA 95618, United States","38.5494071","-121.6927574","ChIJDZoKNrkrhYAR1HxBWuF_33E","3.3","23.0","['point_of_interest', 'establishment']","https://www.apartments.com/el-macero-apartments-davis-ca/hetxbb1/","1750","2450","650","1100"
"Eleanor Roosevelt Circle","675 Cantrill Dr, Davis, CA 95618, United States","38.55092570000001","-121.7204472","ChIJaXpOtLUphYARJBR4L0CBFp0","4.6","5.0","['point_of_interest', 'establishment']","","","","",""
"Ellington Apartments","4849 El Cemonte Ave, Davis, CA 95618, United States","38.550199","-121.691215","ChIJ8fXcQ7krhYAR7_0nUIeGF4M","3.3","40.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/ellington-apartments-davis-ca/3b3by1e/","2193.0","2193.0","848.0","848.0"
"Fountain Circle Townhomes","1213 Alvarado Ave, Davis, CA 95616, United States","38.5622373","-121.7631622","ChIJtSyz5sophYARFVILbDrrWzA","3.4","19.0","['point_of_interest', 'establishment']","https://www.apartments.com/fountain-circle-townhomes-davis-ca/r6xqc43/","1770.0","3775.0","570.0","1849.0"
"Glacier Point","2225 Glacier Dr, Davis, CA 95616, United States","38.5601303","-121.7786715","ChIJ4Q7CkzkohYARYq6mWPXnjdE","4.3","33.0","['point_of_interest', 'establishment']","https://www.apartments.com/glacier-point-apartments-davis-ca/lwdbs1g/","","","",""
"Greenhaus","1720 Research Park Dr, Davis, CA 95618, United States","38.5418577","-121.7310658","ChIJI93s-xcphYARzxOUL4W-y0w","5.0","15.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/greenhaus-davis-ca/qx27vfy/","2500.0","2615.0","519.0","980.0"
"Greystone","2505 5th St, Davis, CA 95618, United States","38.5530083","-121.7205796","ChIJg472R34phYARi59rxmWwmVI","4.3","41.0","['point_of_interest', 'establishment']","https://www.apartments.com/greystone-apartments-davis-ca/4804wzk/","1860.0","4485.0","924.0","1587.0"
"Identity Davis","525 Oxford Cir, Davis, CA 95616, United States","38.5469483","-121.7646911","ChIJxcWb-DIphYARCZ1kIWKXqAA","3.9","129.0","['point_of_interest', 'establishment']","https://www.apartments.com/identity-davis-student-apartments-davis-ca/hy2yh63/","","","",""
"J Street Apartments","1111 J St, Davis, CA 95616, United States","38.5568567","-121.7414871","ChIJn7a_apgphYARO2cksvcxY6Q","2.9","60.0","['point_of_interest', 'establishment']","https://www.apartments.com/j-street-davis-ca/qbtb0ez/","1800.0","2100.0","650.0","850.0"
"Lakeshore","1175 Lake Blvd, Davis, CA 95616, United States","38.55354800000001","-121.7884335","ChIJ04O3_z8ohYARgaJauWhiZQk","3.5","29.0","['point_of_interest', 'establishment']","https://www.apartments.com/lakeshore-apartments-davis-ca/w8rjwdh/","1980.0","2600.0","1097.0","1744.0"
"Le Tournesol Apartments","2640 Portage Bay E, Davis, CA 95616, United States","38.5473636","-121.7823678","ChIJUWysgkQohYARlmV00WwHuPc","4.3","12.0","['point_of_interest', 'establishment']","https://www.apartments.com/le-tournesol-davis-ca/v8e51he/","2310.0","3450.0","950.0","1200.0"
"Lexington Apartments","1100 Olive Dr, Davis, CA 95616, United States","38.5420784","-121.7352964","ChIJx30F7XEphYAR1Q0SSQtQZ-U","4.4","108.0","['point_of_interest', 'establishment']","https://www.apartments.com/the-lexington-apartments-davis-ca/4fhfwzh/","2945.0","4500.0","979.0","1500.0"
"MarCo at the Cannery Apartments","2500 Cannery Loop, Davis, CA 95616, United States","38.56177820000001","-121.7419154","ChIJ0wd3iGcphYAReQJ19phA8Pg","4.4","10.0","['real_estate_agency', 'point_of_interest', 'establishment']","https://www.apartments.com/marco-at-the-cannery-davis-ca/flnncyt/","2375.0","3490.0","611.0","946.0"
"Meadow Ridge","4447 Cowell Blvd, Davis, CA 95618, United States","38.5489369","-121.6970935","ChIJnWW8XccrhYARwGIsg52Aup8","4.7","39.0","['point_of_interest', 'establishment']","https://www.apartments.com/meadow-ridge-apartments-davis-ca/3m8g8sg/","1850","2625","688","1012"
"New Harmony Mutual Housing Community","3030 Cowell Blvd, Davis, CA 95618, United States","38.5474888","-121.7141161","ChIJl0Rs8NkrhYAR9jEI8pkHwtE","3.6","26.0","['point_of_interest', 'establishment']","","","","",""
