apartment_id,bus_stop_id,distance_miles,time_min
0,22124,1.5124212410056297,32.95
0,22123,1.5006151590092833,32.71666666666667
0,22125,1.366398647892925,29.75
0,22114,1.742950526302708,38.016666666666666
0,22146,1.2999117650713958,28.416666666666668
0,22147,1.2601439099258083,27.466666666666665
0,22002,2.597338039196192,57.53333333333333
0,22003,2.627785303292033,58.31666666666667
0,22305,1.691997961897424,37.0
0,22005,2.448208582400239,54.4
0,22007,2.5998235301427917,57.71666666666667
0,22009,2.6159792212956865,58.05
0,22282,4.486932531348255,99.41666666666667
0,22326,3.971814532665565,88.65
0,22015,2.37985758136876,52.766666666666666
0,22017,2.502268010488772,55.45
0,22031,2.7644873053549905,61.7
0,22030,2.7346614139958,61.03333333333333
0,22073,3.447375942933128,76.98333333333333
0,22072,3.3684616053786027,75.43333333333334
0,22025,2.3021859892875343,51.11666666666667
0,22026,2.2717387251916934,50.28333333333333
0,22078,2.7862353511377336,61.95
0,22028,2.4295674003007446,54.56666666666667
0,22029,2.5283656654280637,56.7
0,22069,3.7387997564218876,83.6
0,22234,3.486522425342066,78.01666666666667
0,22076,2.9564914809797807,65.8
0,22077,2.952141871823232,65.55
0,22075,3.0652317098934967,69.0
0,22074,3.0764164191531935,69.08333333333333
0,22071,3.47285222513577,77.41666666666667
0,22238,3.5865634359426846,79.86666666666666
0,22237,3.621981681931724,80.95
0,22068,3.819578212186362,84.85
0,22070,3.765518784097829,83.96666666666667
0,22319,2.560055674997204,57.2
0,22317,2.5830464662532466,57.55
0,22300,3.836976648812557,85.51666666666667
0,22102,2.6998645407434103,60.13333333333333
0,22103,2.640212758025029,58.833333333333336
0,22121,2.0443163035778644,44.81666666666667
0,22120,2.0076553121155256,43.96666666666667
0,22119,2.1021039680862965,47.21666666666667
0,22118,2.1045894590328955,47.25
0,22111,2.2089800787900633,49.36666666666667
0,22110,2.204009096896865,49.25
0,22105,2.466849764499733,55.05
0,22104,2.409683472727951,53.733333333333334
0,22184,0.9606422508606013,20.766666666666666
0,22293,3.7543340748381326,83.51666666666667
0,22299,4.18121714491655,93.03333333333333
0,22067,3.861831558278549,86.43333333333334
0,22973,3.8152286030298135,85.11666666666666
0,22235,4.1234294804081175,92.05
0,22236,3.940124523096425,87.81666666666666
0,22291,3.6250885456149726,80.78333333333333
0,22290,3.6294381547715213,81.2
0,22066,4.265723837100923,95.15
0,22065,4.288093255620317,95.31666666666666
0,22132,0.7792014117588577,18.466666666666665
0,22135,0.6884809922079859,15.666666666666666
0,22134,0.6984229559943829,16.066666666666666
0,22133,0.9475934233909553,22.1
0,22137,0.49834093479314506,11.566666666666666
0,22136,0.4890203437433979,11.366666666666667
0,22365,0.7729876843923597,17.666666666666668
0,22129,1.514906731952229,33.916666666666664
0,22128,1.9032646923583583,42.21666666666667
0,22301,1.3713696297861235,30.033333333333335
0,22302,1.379447475362571,30.083333333333332
0,22157,1.1607242720618391,25.316666666666666
0,22158,1.1694234903749363,25.383333333333333
0,22131,0.8046776939614998,18.533333333333335
0,22154,0.7586961114494141,17.4
0,22155,0.8208333851143947,18.683333333333334
0,22160,1.4210794487181082,31.25
0,22159,1.3937390483055165,30.45
0,22130,1.1048007257633565,25.083333333333332
0,22153,0.945729305181006,20.733333333333334
0,22156,0.9370300868679087,20.333333333333332
0,22494,1.2688431282389054,27.7
0,22224,1.2725713646588044,27.983333333333334
0,22209,1.22224017299017,26.716666666666665
0,22210,1.2141623274137225,26.683333333333334
0,22495,1.138354853542446,24.85
0,22207,1.3670200206295748,29.883333333333333
0,22208,1.3552139386332287,29.833333333333332
0,22212,1.0637901251444692,23.283333333333335
0,22211,1.0513626704114731,23.183333333333334
0,22223,1.1656952539550376,25.616666666666667
0,22221,1.067518361564368,23.133333333333333
0,22220,0.7959784756484025,17.2
0,22014,2.2562044067754483,49.95
0,22013,2.269874606981744,50.38333333333333
0,22022,2.1716977145910747,47.5
0,22024,1.9852858935961326,43.35
0,22023,2.033752967054818,44.483333333333334
0,22006,2.552599202157406,56.56666666666667
0,22126,1.1656952539550376,27.25
0,22061,5.036226030546684,112.05
0,22352,5.035604657810034,112.18333333333334
0,22079,3.4163073061006375,77.13333333333334
0,22201,0.5132538804727405,11.466666666666667
0,22098,1.7951458361812918,40.916666666666664
0,22097,1.7404650353561089,40.03333333333333
0,22199,0.13235239290640885,3.2
0,22245,3.8897933314277906,87.33333333333333
0,22096,2.1400077050219344,48.38333333333333
0,22362,2.2506120521456,51.766666666666666
0,22198,0.1739843662619459,3.7666666666666666
0,22200,0.2510345856065219,5.866666666666666
0,22197,0.3566679508369891,8.0
0,22196,0.3554252053636895,8.3
0,22202,0.717064138093877,16.416666666666668
0,22364,2.9216946077273915,65.75
0,22363,2.8949755800514496,65.48333333333333
0,22037,3.499571252811712,77.53333333333333
0,22036,3.4616675158760737,76.93333333333334
0,22048,4.383784657064387,97.53333333333333
0,22497,5.102712913368213,113.36666666666666
0,22063,5.100848795158264,113.45
0,22056,4.560254514272932,101.31666666666666
0,22055,4.546584314066636,100.91666666666667
0,22045,3.6555358097108135,81.31666666666666
0,22054,4.394969366324084,97.68333333333334
0,22053,4.380677793381138,97.25
0,22172,4.908844619533474,109.2
0,22064,4.963525420358657,110.41666666666667
0,22051,4.229062845638585,94.33333333333333
0,22052,4.176867535760001,92.88333333333334
0,22035,3.2820907949842795,72.86666666666666
0,22034,3.3168876682366686,73.75
0,22343,5.474293809884798,121.45
0,22058,4.761579280947469,105.66666666666667
0,22057,4.723054171275181,104.86666666666666
