apartment_id,grocery_store_id,distance_miles,time_min
12,7,2.560055674997204,9.233333333333333
12,8,2.7458461232554963,10.183333333333334
12,9,2.2506120521456,7.816666666666666
12,10,4.547205686803286,11.933333333333334
12,11,7.967241229323823,12.3
12,12,2.173561832801024,7.65
12,13,6.641231809313135,11.716666666666667
12,14,3.856239203648701,12.716666666666667
12,15,0.4498738613344601,3.25
12,16,0.8320180943740912,4.9
12,17,5.093392322318466,13.8
12,18,0.3939503150359775,2.966666666666667
12,19,1.560266941727665,7.4
12,20,2.2506120521456,7.816666666666666
12,21,20.86569649670051,23.966666666666665
12,22,10.778331489927549,13.883333333333333
13,0,2.9347434351970376,7.516666666666667
13,1,2.864528315955609,7.8
13,2,2.5426572383710093,6.4
13,3,2.7321759230492004,7.3
13,4,2.60541588477264,6.633333333333334
13,5,0.8848347769893249,3.25
13,6,2.6166005940323362,6.566666666666666
13,7,2.9763754085525744,7.883333333333334
13,8,2.6712813948575196,7.233333333333333
13,9,8.209576596617246,13.516666666666667
13,10,1.2421241005629637,4.533333333333333
13,11,0.40078541513912536,2.0
13,12,3.178321547963762,8.4
13,13,1.4912945679595362,3.0833333333333335
13,14,1.6963475710539726,4.7
13,15,7.802577454111624,11.683333333333334
13,16,4.685771807076193,12.75
13,17,1.289969801284999,5.333333333333333
13,18,5.060459567276027,13.616666666666667
13,19,3.962493941615818,11.333333333333334
13,20,8.209576596617246,13.516666666666667
13,21,22.785738252948416,25.066666666666666
13,22,3.3628692507487545,6.833333333333333
14,0,1.0091093243192861,4.65
14,1,1.7373581716728597,7.316666666666666
14,2,1.2526874370860104,4.966666666666667
14,3,1.395603166515466,6.483333333333333
14,4,1.614326369816198,7.55
14,5,3.9090558862639346,10.916666666666666
14,6,1.2035989908906757,4.766666666666667
14,7,1.3073682379111935,5.966666666666667
14,8,1.5490822324679683,6.983333333333333
14,9,3.3591410143288556,10.95
14,10,2.8968396982613993,7.466666666666667
14,11,3.659264046130712,10.333333333333334
14,12,0.5225744715224875,3.2
14,13,2.403469745361453,8.9
14,14,2.2052518423701644,8.266666666666667
14,15,1.772155044925249,7.333333333333333
14,16,1.3713696297861235,6.3
14,17,3.4424049610399297,9.35
14,18,1.746057389985957,7.166666666666667
14,19,2.1505710415449815,8.8
14,20,3.3591410143288556,10.95
14,21,21.97422545888377,27.1
14,22,6.648688282152933,12.85
15,0,1.4229435669280575,8.883333333333333
15,1,1.1501609355387923,6.533333333333333
15,2,1.868467819105969,7.75
15,3,1.0178085426323835,6.033333333333333
15,4,0.891048504355823,5.35
15,5,3.244187058048641,8.016666666666667
15,6,1.942411174767296,7.916666666666667
