name,address,lat,lng,place_id,rating,user_ratings_total,types
Kobe Mini Mart,"213 E St suite a, Davis, CA 95616, United States",38.5437182,-121.7413633,ChIJvebnWHMphYARVtVOXfCnNco,4.7,191.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Lazi Cow,"407 G St #4, Davis, CA 95616, United States",38.54652900000001,-121.7400742,ChIJv8H__HQphYARdw_pV20VYMk,4.4,444.0,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Loop Neighborhood Market,"1944 Anderson Rd, Davis, CA 95616, United States",38.5603392,-121.7580442,ChIJv4dvyiIphYARIt7LkWDgxvY,1.9,19.0,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
Loop Neighborhood Market,"1010 Olive Dr, Davis, CA 95616, United States",38.540977,-121.7377275,ChIJ69K7E3IphYAR-K00sg8qELc,3.3,26.0,"['convenience_store', 'gas_station', 'liquor_store', 'cafe', 'store', 'food', 'point_of_interest', 'establishment']"
Mabel's Market,"222 D St Unit 1, Davis, CA 95616, United States",38.54364470000001,-121.7421445,ChIJYw2H_vMphYARxyr4fZbrgjE,5.0,23.0,"['point_of_interest', 'establishment']"
Meat Laboratory | UC Davis,"534 Putah Creek Lodge Dr, Davis, CA 95616, United States",38.534021,-121.7551633,ChIJOaWYl4oohYARyTDTVBWd7wg,4.4,29.0,"['point_of_interest', 'establishment']"
Mercado Davis,"1260 Lake Blvd, Davis, CA 95616, United States",38.5542822,-121.7869453,ChIJY03B1EgphYARngCLkawhxz4,5.0,19.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
"Mr. Pickle's Sandwich Shop - Davis, CA","2191 Cowell Blvd F, Davis, CA 95618, United States",38.5408345,-121.7238539,ChIJ9_dUk2MphYARv1J8ms7sDDw,4.4,143.0,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Nugget Markets,"311 Mace Blvd, Davis, CA 95618, United States",38.5594971,-121.6948645,ChIJU-xgubUrhYARKLT2Qx1RAm4,,,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
Nugget Markets,"409 Mace Blvd, Davis, CA 95618, United States",38.5499877,-121.6957009,ChIJb0xgkbgrhYARfn19EmZGX5c,4.6,771.0,"['grocery_or_supermarket', 'supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Nugget Markets,"1414 E Covell Blvd, Davis, CA 95616, United States",38.5610143,-121.7330807,ChIJbViPb5AphYARTSpJ9qQdaJI,4.6,1375.0,"['grocery_or_supermarket', 'supermarket', 'bakery', 'liquor_store', 'point_of_interest', 'store', 'food', 'establishment']"
Oak Tree Plaza,"1550 E Covell Blvd, Davis, CA 95616, United States",38.5613653,-121.7327336,ChIJo1t4bpAphYARNStxVKDsX24,4.4,206.0,"['shopping_mall', 'point_of_interest', 'establishment']"
Oakshade Town Center,"2107-2151 Cowell Blvd, Davis, CA 95618, United States",38.5412639,-121.7244422,ChIJ56jbYmMphYARH_dd7uMdTeM,4.3,916.0,"['shopping_mall', 'grocery_or_supermarket', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
Paesanos,"139 G St, Davis, CA 95616, United States",38.5433203,-121.7390342,ChIJkUhmonMphYARMcwrjCo4fgs,4.4,1052.0,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']"
Panera Bread,"609 3rd St, Davis, CA 95616, United States",38.5447642,-121.7412342,ChIJX-wtlnQphYARMOuKWVhnqjE,4.2,482.0,"['cafe', 'meal_takeaway', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Safeway,"2121 Cowell Blvd, Davis, CA 95618, United States",38.5413699,-121.725185,ChIJve6asDUohYARu2CHRuDsLKE,4.2,863.0,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'store', 'food', 'establishment']"
Safeway,"1451 W Covell Blvd, Davis, CA 95616, United States",38.5621327,-121.766313,ChIJo_TPTTUohYARIx5AnhEIWPg,4.0,777.0,"['grocery_or_supermarket', 'supermarket', 'florist', 'bakery', 'point_of_interest', 'store', 'food', 'establishment']"
Sage Street Market,"200 Sage St, Davis, CA 95616, United States",38.541387,-121.7717372,ChIJyWAeUQAphYARb82ApXpM9Q8,5.0,1.0,"['point_of_interest', 'establishment']"
Sage Street Market & Cafe,"201 Sage St, Davis, CA 95616, United States",38.5412576,-121.7717459,ChIJn15DPbYphYAREpEG6rEd3Ds,4.1,8.0,"['cafe', 'food', 'point_of_interest', 'establishment']"
Save Mart,"1900 Anderson Rd, Davis, CA 95616, United States",38.559915,-121.7580297,ChIJI4jx87YphYARI46W0788Ln8,4.1,609.0,"['grocery_or_supermarket', 'meal_delivery', 'supermarket', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
Segundo Market,"One Shields Ave, Davis, CA 95616, United States",38.5450697,-121.7582291,ChIJX60dPQwphYARioP41_MSVYM,2.6,5.0,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
Silo,"420 Hutchison Dr, Davis, CA 95616, United States",38.5387083,-121.7531919,ChIJ3Y-zZQ8phYAR_DNZKlMhp0E,4.2,301.0,"['food', 'point_of_interest', 'establishment']"
Silo Market,"University of California, Davis, Silo South, Davis, CA 95616, United States",38.5382418,-121.7526528,ChIJidwTEHYphYARb_pIHkjRWII,3.7,15.0,"['cafe', 'food', 'point_of_interest', 'establishment']"
Spork Food Hub,"1500 Cannery Ave, Davis, CA 95616, United States",38.5612451,-121.7383075,ChIJoxR3vrkphYARcwQgiJUF8xc,5.0,3.0,"['point_of_interest', 'establishment']"
T-Kumi Ramen & Rice Bowl,"Second Floor, 1260 Lake Blvd #267, Davis, CA 95616, United States",38.5534274,-121.787043,ChIJuQxzBBQphYARN9Auh_TQIPM,4.1,197.0,"['liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']"
Target,"4601 2nd St, Davis, CA 95618, United States",38.5542886,-121.6997428,ChIJh5Emq8krhYARnARbsvYD9E0,4.1,639.0,"['department_store', 'shoe_store', 'clothing_store', 'furniture_store', 'home_goods_store', 'electronics_store', 'store', 'point_of_interest', 'establishment']"
Target Grocery,"4601 2nd St, Davis, CA 95618, United States",38.5541537,-121.6997751,ChIJs4eXNQIrhYARuSbKFFIurww,5.0,3.0,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
The Davis Collection,"737-885 Russell Blvd, Davis, CA 95616, United States",38.5470924,-121.7608164,ChIJZyNN8KsphYARQ_nQiAyrK-w,3.8,744.0,"['shopping_mall', 'point_of_interest', 'establishment']"
The Hotdogger | Davis Farmer's Market,"301 C St, Davis, CA 95616, United States",38.54429650000001,-121.7441812,ChIJRZNydKsphYAR_xcrd15yAGc,5.0,1.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
The Marketplace,"1411 W Covell Blvd, Davis, CA 95616, United States",38.5622313,-121.7663723,ChIJG5fPdM0phYAR3oRnA8qDVYo,4.3,1131.0,"['shopping_mall', 'grocery_or_supermarket', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
Trader Joe's,"885 Russell Blvd, Davis, CA 95616, United States",38.5467319,-121.7614861,ChIJ3aNCZKkphYARgHxjGhLKUF0,4.6,1475.0,"['grocery_or_supermarket', 'supermarket', 'liquor_store', 'point_of_interest', 'health', 'store', 'food', 'establishment']"
UC Davis Farmers Market,"University of California, Davis, N Quad, Davis, CA 95616, United States",38.5456999,-121.75912,ChIJh1wwf6kphYARmQIjclH0gS4,1.0,1.0,"['storage', 'point_of_interest', 'establishment']"
Upper Crust Baking - Davis,"634 G St, Davis, CA 95616, United States",38.5501203,-121.7400727,ChIJb1QK_VwphYAR3UDujzmlkFw,4.6,246.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']"
Village Bakery,"814 2nd St, Davis, CA 95616, United States",38.5435782,-121.7383826,ChIJe5Zil3MphYARQNLYrdf6BU0,4.5,214.0,"['bakery', 'store', 'food', 'point_of_interest', 'establishment']"
Village Bakery (wholesale only),"2828 Spafford St, Davis, CA 95618, United States",38.5515298,-121.7145016,ChIJIaR2r9YrhYARDen2rnwaojc,4.6,11.0,"['bakery', 'food', 'point_of_interest', 'store', 'establishment']"
Westlake Market,"1260 Lake Blvd, Davis, CA 95616, United States",38.5544309,-121.7870721,ChIJedk5kXQphYAR3anhMBRLzhM,4.4,158.0,"['grocery_or_supermarket', 'supermarket', 'bakery', 'liquor_store', 'restaurant', 'point_of_interest', 'store', 'food', 'establishment']"
WinCo Foods,"855 Davis St, Vacaville, CA 95687, United States",38.3466093,-121.9846852,ChIJxeqwe1w9hYAR4MljIGEbk9w,4.5,2139.0,"['supermarket', 'bakery', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']"
XI SQUARE,"232 E St, Davis, CA 95616, United States",38.5442438,-121.7408658,ChIJqaG-ABYphYAR56eeP1uBkOs,5.0,11.0,"['store', 'point_of_interest', 'establishment']"
Yolo Berry Yogurt,"316 C St, Davis, CA 95616, United States",38.5447665,-121.7435656,ChIJbV4LPAsphYARTLx5vWRW8D4,4.6,335.0,"['food', 'point_of_interest', 'store', 'establishment']"
Yolo Fruit Stand,"46710 Co Rd 32B, Davis, CA 95618, United States",38.5616125,-121.6441943,ChIJ17DVJDkrhYAR9q6BoSpbcak,4.3,581.0,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
Zia's Delicatessen,"616 3rd St, Davis, CA 95616, United States",38.5445211,-121.7407691,ChIJKSBbvXQphYAR_ome0fEwhcs,4.6,243.0,"['store', 'food', 'point_of_interest', 'establishment']"
